Source Name	Characteristics[organism]	Comment[replicate]	Characteristics[growth condition]	Characteristics[genotype]	Characteristics[disease]	Characteristics[cell line]	Material Type	Description	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data Matrix File	Comment [ArrayExpress Data Matrix FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]
ML006-CTRL_I	Homo sapiens	1	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type III	myxoid liposarcoma	ML006	cell	PDX myxoid liposarcoma type III untreated	P-MTAB-92264	P-MTAB-92265	ML006-CTRL_I	P-MTAB-92266	ML006-CTRL_I:Cy3	Cy3	P-MTAB-92267	ML006-CTRL_I:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949444955_S01_GE1_1105_Oct12_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	none	  	  	not applicable	    
ML006-CTRL_II	Homo sapiens	2	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type III	myxoid liposarcoma	ML006	cell	PDX myxoid liposarcoma type III untreated	P-MTAB-92264	P-MTAB-92265	ML006-CTRL_II	P-MTAB-92266	ML006-CTRL_II:Cy3	Cy3	P-MTAB-92267	ML006-CTRL_II:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949444955_S01_GE1_1105_Oct12_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	none	  	  	not applicable	    
ML006-CTRL_III	Homo sapiens	3	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type III	myxoid liposarcoma	ML006	cell	PDX myxoid liposarcoma type III untreated	P-MTAB-92264	P-MTAB-92265	ML006-CTRL_III	P-MTAB-92266	ML006-CTRL_III:Cy3	Cy3	P-MTAB-92267	ML006-CTRL_III:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949444955_S01_GE1_1105_Oct12_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	none	  	  	not applicable	    
ML006-CTRL_IV	Homo sapiens	4	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type III	myxoid liposarcoma	ML006	cell	PDX myxoid liposarcoma type III untreated	P-MTAB-92264	P-MTAB-92265	ML006-CTRL_IV	P-MTAB-92266	ML006-CTRL_IV:Cy3	Cy3	P-MTAB-92267	ML006-CTRL_IV:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_257236325563_S01_GE1_1105_Oct12_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	none	  	  	not applicable	    
ML017-CTRL_I	Homo sapiens	1	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017	cell	PDX myxoid liposarcoma type I, untreated	P-MTAB-92264	P-MTAB-92265	ML017-CTRL_I	P-MTAB-92266	ML017-CTRL_I:Cy3	Cy3	P-MTAB-92267	ML017-CTRL_I:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949446154_S01_GE1_1105_Oct12_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	none	  	  	not applicable	    
ML017-CTRL_II	Homo sapiens	2	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017	cell	PDX myxoid liposarcoma type I, untreated	P-MTAB-92264	P-MTAB-92265	ML017-CTRL_II	P-MTAB-92266	ML017-CTRL_II:Cy3	Cy3	P-MTAB-92267	ML017-CTRL_II:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949446154_S01_GE1_1105_Oct12_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	none	  	  	not applicable	    
ML017-CTRL_III	Homo sapiens	3	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017	cell	PDX myxoid liposarcoma type I, untreated	P-MTAB-92264	P-MTAB-92265	ML017-CTRL_III	P-MTAB-92266	ML017-CTRL_III:Cy3	Cy3	P-MTAB-92267	ML017-CTRL_III:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949446154_S01_GE1_1105_Oct12_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	none	  	  	not applicable	    
ML017/ET-CTRL_I	Homo sapiens	1	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017/ET	cell	PDX myxoid liposarcoma type I, resistant to trabectedin, untreated	P-MTAB-92264	P-MTAB-92265	ML017/ET-CTRL_I	P-MTAB-92266	ML017/ET-CTRL_I:Cy3	Cy3	P-MTAB-92267	ML017/ET-CTRL_I:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949446663_S01_GE1_1105_Oct12_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	none	  	  	not applicable	    
ML017/ET-CTRL_II	Homo sapiens	2	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017/ET	cell	PDX myxoid liposarcoma type I, resistant to trabectedin, untreated	P-MTAB-92264	P-MTAB-92265	ML017/ET-CTRL_II	P-MTAB-92266	ML017/ET-CTRL_II:Cy3	Cy3	P-MTAB-92267	ML017/ET-CTRL_II:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949446663_S01_GE1_1105_Oct12_2_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	none	  	  	not applicable	    
ML017/ET-CTRL_III	Homo sapiens	3	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017/ET	cell	PDX myxoid liposarcoma type I, resistant to trabectedin, untreated	P-MTAB-92264	P-MTAB-92265	ML017/ET-CTRL_III	P-MTAB-92266	ML017/ET-CTRL_III:Cy3	Cy3	P-MTAB-92267	ML017/ET-CTRL_III:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949446663_S01_GE1_1105_Oct12_2_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	none	  	  	not applicable	    
